sourcemmsi,imonumber,callsign,shipname,shiptype,tobow,tostern,tostarboard,toport,eta,draught,destination,mothershipmmsi,t
227704000,0,FVJB ,BEL ESPOIR ,0,13,9,2,2,11-09 23:00 ,2.9,ABER WRACH ,,1443668319
228931000,0,FHZW ,F/V CARLA EGLANTINE ,30,10,10,3,2,00-00 24:60 ,3.4,LA TURBALLE ,,1443668319
228931000,0,FHZW ,F/V CARLA EGLANTINE ,30,10,10,3,2,00-00 24:60 ,3.4,LA TURBALLE ,,1443668320
227574020,0,FGD5859 ,TIBIDY ,60,13,21,5,5,00-00 24:60 ,0, ,,1443668326
227008170,0,FGA2273 ,MOLENEZ ,0,30,7,4,4,25-08 16:15 ,3,BREST ,,1443668328
227592820,0,FGD8075 ,TREBERON ,60,16,20,5,4,00-00 24:60 ,1.7, ,,1443668329
255801560,9131955,CQQE ,AUTOPRIDE ,70,101,24,8,10,02-10 13:00 ,5,SANTANDER ,,1443668333
228051000,8617342,FHFO ,SAINT DENIS ,52,8,20,5,4,16-09 07:00 ,4.9,BREST ,,1443668364
228186700,9269518,FMAA ,ARGONAUTE ,51,10,60,10,10,25-09 19:20 ,6.4,BREST ,,1443668384
228064900,8304816,FITO ,VN SAPEUR ,51,21,54,10,6,29-09 12:00 ,5.9,RADE DE BREST ,,1443668471
304091000,9509255,V2GU5 ,HC JETTE-MARIT ,70,130,30,18,6,04-09 20:00 ,10.1,BREST ,,1443668504
226263000,9308687,FZTC ,ABEILLE BOURBON ,51,36,44,8,8,31-12 00:00 ,6,SALVAGE TUG ,,1443668525
228157000,0,FHKI ,F/V EL AMANECER ,96,10,10,4,2,00-00 24:60 ,3.5,DOUARNENEZ ,,1443668529
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443668592
311018500,9410569,C6XP7 ,NORWEGIAN EPIC ,60,47,282,24,16,27-09 10:00 ,9,BREST ,,1443668597
227003050,0,FV5533 ,ENEZ EUSSA 3 ,60,25,20,4,5,29-09 19:50 ,2.8,BREST ,,1443668611
311153000,9001772,C6WL6 ,POLAR SPIRIT ,80,185,54,25,15,22-09 08:00 ,8.2,BREST ,,1443668638
228929000,0,FGUF ,F/V ADELINE STEPHEN ,30,10,8,3,3,00-00 24:60 ,0, ,,1443668673
228931000,0,FHZW ,F/V CARLA EGLANTINE ,30,10,10,3,2,00-00 24:60 ,3.4,LA TURBALLE ,,1443668681
227008170,0,FGA2273 ,MOLENEZ ,0,30,7,4,4,25-08 16:15 ,3,BREST ,,1443668688
228051000,8617342,FHFO ,SAINT DENIS ,52,8,20,5,4,16-09 07:00 ,4.9,BREST ,,1443668724
228374000,0,FHMD ,F/V LE DOLMEN ,30,10,8,4,2,00-00 24:60 ,0,EN PECHE ,,1443668738
228186700,9269518,FMAA ,ARGONAUTE ,51,10,60,10,10,25-09 19:20 ,6.4,BREST ,,1443668746
228064900,8304816,FITO ,VN SAPEUR ,51,21,54,10,6,29-09 12:00 ,5.9,RADE DE BREST ,,1443668831
227705102,262144,FGD5860 ,BINDY ,60,9,26,5,4,00-00 24:60 ,0, ,,1443668842
228190600,0,FMAS ,BOUGAINVILLE ,30,12,12,3,3,17-08 04:42 ,4.1,DOUARNENEZ /FRANCE ,,1443668863
304091000,9509255,V2GU5 ,HC JETTE-MARIT ,70,130,30,18,6,04-09 20:00 ,10.1,BREST ,,1443668864
226263000,9308687,FZTC ,ABEILLE BOURBON ,51,36,44,8,8,31-12 00:00 ,6,SALVAGE TUG ,,1443668885
228157000,0,FHKI ,F/V EL AMANECER ,96,10,10,4,2,00-00 24:60 ,3.5,DOUARNENEZ ,,1443668887
245257000,9148142,PFHD ,EEMS CARRIER ,70,75,9,3,8,30-09 17:00 ,2.7,BREST ,,1443668904
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443668952
311018500,9410569,C6XP7 ,NORWEGIAN EPIC ,60,47,282,24,16,27-09 10:00 ,9,BREST ,,1443668956
227003050,0,FV5533 ,ENEZ EUSSA 3 ,60,25,20,4,5,29-09 19:50 ,2.8,BREST ,,1443668971
234056000,7703106,GKCT ,VN PARTISAN ,70,20,58,9,6,28-09 14:00 ,5.9,WORKING AREA ,,1443668990
228929000,0,FGUF ,F/V ADELINE STEPHEN ,30,10,8,3,3,00-00 24:60 ,0, ,,1443669032
228931000,0,FHZW ,F/V CARLA EGLANTINE ,30,10,10,3,2,00-00 24:60 ,3.4,LA TURBALLE ,,1443669040
227574020,0,FGD5859 ,TIBIDY ,60,13,21,5,5,00-00 24:60 ,0, ,,1443669045
227008170,0,FGA2273 ,MOLENEZ ,0,30,7,4,4,25-08 16:15 ,3,BREST ,,1443669048
228051000,8617342,FHFO ,SAINT DENIS ,52,8,20,5,4,16-09 07:00 ,4.9,BREST ,,1443669084
228374000,0,FHMD ,F/V LE DOLMEN ,30,10,8,4,2,00-00 24:60 ,0,EN PECHE ,,1443669098
228186700,9269518,FMAA ,ARGONAUTE ,51,10,60,10,10,25-09 19:20 ,6.4,BREST ,,1443669107
228064900,8304816,FITO ,VN SAPEUR ,51,21,54,10,6,29-09 12:00 ,5.9,RADE DE BREST ,,1443669191
227705102,262144,FGD5860 ,BINDY ,60,9,26,5,4,00-00 24:60 ,0, ,,1443669202
304091000,9509255,V2GU5 ,HC JETTE-MARIT ,70,130,30,18,6,04-09 20:00 ,10.1,BREST ,,1443669224
226263000,9308687,FZTC ,ABEILLE BOURBON ,51,36,44,8,8,31-12 00:00 ,6,SALVAGE TUG ,,1443669246
228157000,0,FHKI ,F/V EL AMANECER ,96,10,10,4,2,00-00 24:60 ,3.5,DOUARNENEZ ,,1443669249
245257000,9148142,PFHD ,EEMS CARRIER ,70,75,9,3,8,30-09 17:00 ,2.7,BREST ,,1443669264
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443669312
311018500,9410569,C6XP7 ,NORWEGIAN EPIC ,60,47,282,24,16,27-09 10:00 ,9,BREST ,,1443669315
227307000,0,FHCP ,F/V MARIE-LOU ,30,10,9,4,3,00-00 24:60 ,0, ,,1443669317
227003050,0,FV5533 ,ENEZ EUSSA 3 ,60,25,20,4,5,29-09 19:50 ,2.8,BREST ,,1443669331
234056000,7703106,GKCT ,VN PARTISAN ,70,20,58,9,6,28-09 14:00 ,5.9,WORKING AREA ,,1443669350
311153000,9001772,C6WL6 ,POLAR SPIRIT ,80,185,54,25,15,22-09 08:00 ,8.2,BREST ,,1443669358
228929000,0,FGUF ,F/V ADELINE STEPHEN ,30,10,8,3,3,00-00 24:60 ,0, ,,1443669392
228931000,0,FHZW ,F/V CARLA EGLANTINE ,30,10,10,3,2,00-00 24:60 ,3.4,LA TURBALLE ,,1443669400
227574020,0,FGD5859 ,TIBIDY ,60,13,21,5,5,00-00 24:60 ,0, ,,1443669406
227008170,0,FGA2273 ,MOLENEZ ,0,30,7,4,4,25-08 16:15 ,3,BREST ,,1443669408
228051000,8617342,FHFO ,SAINT DENIS ,52,8,20,5,4,16-09 07:00 ,4.9,BREST ,,1443669444
228374000,0,FHMD ,F/V LE DOLMEN ,30,10,8,4,2,00-00 24:60 ,0,EN PECHE ,,1443669458
228186700,9269518,FMAA ,ARGONAUTE ,51,10,60,10,10,25-09 19:20 ,6.4,BREST ,,1443669470
228064900,8304816,FITO ,VN SAPEUR ,51,21,54,10,6,29-09 12:00 ,5.9,RADE DE BREST ,,1443669551
227705102,262144,FGD5860 ,BINDY ,60,9,26,5,4,00-00 24:60 ,0, ,,1443669563
228190600,0,FMAS ,BOUGAINVILLE ,30,12,12,3,3,17-08 04:42 ,4.1,DOUARNENEZ /FRANCE ,,1443669583
304091000,9509255,V2GU5 ,HC JETTE-MARIT ,70,130,30,18,6,04-09 20:00 ,10.1,BREST ,,1443669584
226263000,9308687,FZTC ,ABEILLE BOURBON ,51,36,44,8,8,31-12 00:00 ,6,SALVAGE TUG ,,1443669606
228157000,0,FHKI ,F/V EL AMANECER ,96,10,10,4,2,00-00 24:60 ,3.5,DOUARNENEZ ,,1443669607
245257000,9148142,PFHD ,EEMS CARRIER ,70,75,9,3,8,30-09 17:00 ,2.7,BREST ,,1443669625
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443669672
311018500,9410569,C6XP7 ,NORWEGIAN EPIC ,60,47,282,24,16,27-09 10:00 ,9,BREST ,,1443669674
227008170,0,FGA2273 ,MOLENEZ ,0,30,7,4,4,25-08 16:15 ,3,OUESSANT ,,1443669675
227307000,0,FHCP ,F/V MARIE-LOU ,30,10,9,4,3,00-00 24:60 ,0, ,,1443669679
227003050,0,FV5533 ,ENEZ EUSSA 3 ,60,25,20,4,5,29-09 19:50 ,2.8,BREST ,,1443669691
234056000,7703106,GKCT ,VN PARTISAN ,70,20,58,9,6,28-09 14:00 ,5.9,WORKING AREA ,,1443669710
227008170,0,FGA2273 ,MOLENEZ ,0,30,7,4,4,01-10 07:50 ,3,OUESSANT ,,1443669715
228929000,0,FGUF ,F/V ADELINE STEPHEN ,30,10,8,3,3,00-00 24:60 ,0, ,,1443669752
228931000,0,FHZW ,F/V CARLA EGLANTINE ,30,10,10,3,2,00-00 24:60 ,3.4,LA TURBALLE ,,1443669759
227574020,0,FGD5859 ,TIBIDY ,60,13,21,5,5,00-00 24:60 ,0, ,,1443669766
228051000,8617342,FHFO ,SAINT DENIS ,52,8,20,5,4,16-09 07:00 ,4.9,BREST ,,1443669803
228374000,0,FHMD ,F/V LE DOLMEN ,30,10,8,4,2,00-00 24:60 ,0,EN PECHE ,,1443669818
228186700,9269518,FMAA ,ARGONAUTE ,51,10,60,10,10,25-09 19:20 ,6.4,BREST ,,1443669831
228293000,0,FHAO ,F/V BARR AVEL ,30,8,8,4,2,00-00 24:60 ,0, ,,1443669902
228064900,8304816,FITO ,VN SAPEUR ,51,21,54,10,6,29-09 12:00 ,5.9,RADE DE BREST ,,1443669911
227705102,262144,FGD5860 ,BINDY ,60,9,26,5,4,00-00 24:60 ,0, ,,1443669923
228190600,0,FMAS ,BOUGAINVILLE ,30,12,12,3,3,17-08 04:42 ,4.1,DOUARNENEZ /FRANCE ,,1443669943
304091000,9509255,V2GU5 ,HC JETTE-MARIT ,70,130,30,18,6,04-09 20:00 ,10.1,BREST ,,1443669944
228157000,0,FHKI ,F/V EL AMANECER ,96,10,10,4,2,00-00 24:60 ,3.5,DOUARNENEZ ,,1443669966
226263000,9308687,FZTC ,ABEILLE BOURBON ,51,36,44,8,8,31-12 00:00 ,6,SALVAGE TUG ,,1443669967
245257000,9148142,PFHD ,EEMS CARRIER ,70,75,9,3,8,30-09 17:00 ,2.7,BREST ,,1443669985
311018500,9410569,C6XP7 ,NORWEGIAN EPIC ,60,47,282,24,16,27-09 10:00 ,9,BREST ,,1443670032
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443670032
227307000,0,FHCP ,F/V MARIE-LOU ,30,10,9,4,3,00-00 24:60 ,0, ,,1443670040
227003050,0,FV5533 ,ENEZ EUSSA 3 ,60,25,20,4,5,29-09 19:50 ,2.8,BREST ,,1443670051
234056000,7703106,GKCT ,VN PARTISAN ,70,20,58,9,6,28-09 14:00 ,5.9,WORKING AREA ,,1443670070
227008170,0,FGA2273 ,MOLENEZ ,0,30,7,4,4,01-10 07:50 ,3,OUESSANT ,,1443670075
311153000,9001772,C6WL6 ,POLAR SPIRIT ,80,185,54,25,15,22-09 08:00 ,8.2,BREST ,,1443670079
228929000,0,FGUF ,F/V ADELINE STEPHEN ,30,10,8,3,3,00-00 24:60 ,0, ,,1443670112
228931000,0,FHZW ,F/V CARLA EGLANTINE ,30,10,10,3,2,00-00 24:60 ,3.4,LA TURBALLE ,,1443670120
227574020,0,FGD5859 ,TIBIDY ,60,13,21,5,5,00-00 24:60 ,0, ,,1443670127
228051000,8617342,FHFO ,SAINT DENIS ,52,8,20,5,4,16-09 07:00 ,4.9,BREST ,,1443670164
228374000,0,FHMD ,F/V LE DOLMEN ,30,10,8,4,2,00-00 24:60 ,0,EN PECHE ,,1443670179
228186700,9269518,FMAA ,ARGONAUTE ,51,10,60,10,10,25-09 19:20 ,6.4,BREST ,,1443670190
228064900,8304816,FITO ,VN SAPEUR ,51,21,54,10,6,29-09 12:00 ,5.9,RADE DE BREST ,,1443670271
227705102,262144,FGD5860 ,BINDY ,60,9,26,5,4,00-00 24:60 ,0, ,,1443670282
304091000,9509255,V2GU5 ,HC JETTE-MARIT ,70,130,30,18,6,04-09 20:00 ,10.1,BREST ,,1443670304
226263000,9308687,FZTC ,ABEILLE BOURBON ,51,36,44,8,8,31-12 00:00 ,6,SALVAGE TUG ,,1443670327
228157000,0,FHKI ,F/V EL AMANECER ,96,10,10,4,2,00-00 24:60 ,3.5,DOUARNENEZ ,,1443670328
245257000,9148142,PFHD ,EEMS CARRIER ,70,75,9,3,8,30-09 17:00 ,2.7,BREST ,,1443670345
311018500,9410569,C6XP7 ,NORWEGIAN EPIC ,60,47,282,24,16,27-09 10:00 ,9,BREST ,,1443670390
311018500,9410569,C6XP7 ,NORWEGIAN EPIC ,60,47,282,24,16,27-09 10:00 ,9,BREST ,,1443670391
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443670392
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443670392
227319570,0,FO4876 ,F/V LISANAIS ,30,11,4,1,4,00-00 24:60 ,0, ,,1443670396
227307000,0,FHCP ,F/V MARIE-LOU ,30,10,9,4,3,00-00 24:60 ,0, ,,1443670398
227003050,0,FV5533 ,ENEZ EUSSA 3 ,60,25,20,4,5,29-09 19:50 ,2.8,BREST ,,1443670412
227306100,0,FVXQ ,LA RECOUVRANCE ,36,35,7,3,4,01-10 15:30 ,3.2,CONCARNEAU ,,1443670425
234056000,7703106,GKCT ,VN PARTISAN ,70,20,58,9,6,28-09 14:00 ,5.9,WORKING AREA ,,1443670429
234056000,7703106,GKCT ,VN PARTISAN ,70,20,58,9,6,28-09 14:00 ,5.9,WORKING AREA ,,1443670430
215819000,9034731,9HBW8 ,TOUR MARGAUX ,80,91,23,8,10,03-10 10:00 ,6,RUISBROEK ,,1443670432
227008170,0,FGA2273 ,MOLENEZ ,0,30,7,4,4,01-10 07:50 ,3,OUESSANT ,,1443670435
227008170,0,FGA2273 ,MOLENEZ ,0,30,7,4,4,01-10 07:50 ,3,OUESSANT ,,1443670435
311153000,9001772,C6WL6 ,POLAR SPIRIT ,80,185,54,25,15,22-09 08:00 ,8.2,BREST ,,1443670438
228843000,0,FPOA ,F/V L ESPOIR ,30,9,10,6,2,15-05 11:25 ,4.1,FISHIN CHANEL 13/16 ,,1443670471
228929000,0,FGUF ,F/V ADELINE STEPHEN ,30,10,8,3,3,00-00 24:60 ,0, ,,1443670473
228931000,0,FHZW ,F/V CARLA EGLANTINE ,30,10,10,3,2,00-00 24:60 ,3.4,LA TURBALLE ,,1443670480
227574020,0,FGD5859 ,TIBIDY ,60,13,21,5,5,00-00 24:60 ,0, ,,1443670486
228051000,8617342,FHFO ,SAINT DENIS ,52,8,20,5,4,16-09 07:00 ,4.9,BREST ,,1443670524
228186700,9269518,FMAA ,ARGONAUTE ,51,10,60,10,10,25-09 19:20 ,6.4,BREST ,,1443670549
228064900,8304816,FITO ,VN SAPEUR ,51,21,54,10,6,29-09 12:00 ,5.9,RADE DE BREST ,,1443670631
227705102,262144,FGD5860 ,BINDY ,60,9,26,5,4,00-00 24:60 ,0, ,,1443670643
228190600,0,FMAS ,BOUGAINVILLE ,30,12,12,3,3,17-08 04:42 ,4.1,DOUARNENEZ /FRANCE ,,1443670663
304091000,9509255,V2GU5 ,HC JETTE-MARIT ,70,130,30,18,6,04-09 20:00 ,10.1,BREST ,,1443670664
228157000,0,FHKI ,F/V EL AMANECER ,96,10,10,4,2,00-00 24:60 ,3.5,DOUARNENEZ ,,1443670686
226263000,9308687,FZTC ,ABEILLE BOURBON ,51,36,44,8,8,31-12 00:00 ,6,SALVAGE TUG ,,1443670687
228947000,0,FHIY ,F/V PORZ STREILHEN ,30,8,8,2,2,00-00 24:60 ,0, ,,1443670694
636014208,9400069,A8SG6 ,MAULE ,71,212,94,13,27,04-10 03:00 ,11.9,TANGIER ,,1443670701
227148000,7932214,F.G.B.P ,LANGEVIN ,33,15,50,7,7,28-06 07:00 ,4,BREST PILOT ,,1443670704
245257000,9148142,PFHD ,EEMS CARRIER ,70,75,9,3,8,30-09 17:00 ,2.7,BREST ,,1443670705
245257000,9148142,PFHD ,EEMS CARRIER ,70,75,9,3,8,30-09 17:00 ,2.7,BREST ,,1443670706
228236700,0,FMIE ,LES CALANQUES ,30,20,4,4,4,00-00 24:60 ,0, ,,1443670721
246358000,9385881,PCBO ,MERIDIAAN ,71,10,118,8,8,07-10 08:00 ,5.2,ITALLY ,,1443670726
228263900,0,FMLY ,F/V ALCOR ,0,9,9,3,3,00-00 24:60 ,0, ,,1443670733
311018500,9410569,C6XP7 ,NORWEGIAN EPIC ,60,47,282,24,16,27-09 10:00 ,9,BREST ,,1443670749
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443670752
227307000,0,FHCP ,F/V MARIE-LOU ,30,10,9,4,3,00-00 24:60 ,0, ,,1443670757
227003050,0,FV5533 ,ENEZ EUSSA 3 ,60,25,20,4,5,29-09 19:50 ,2.8,BREST ,,1443670771
234056000,7703106,GKCT ,VN PARTISAN ,70,20,58,9,6,28-09 14:00 ,5.9,WORKING AREA ,,1443670789
227008170,0,FGA2273 ,MOLENEZ ,0,30,7,4,4,01-10 07:50 ,3,OUESSANT ,,1443670795
311153000,9001772,C6WL6 ,POLAR SPIRIT ,80,185,54,25,15,22-09 08:00 ,8.2,BREST ,,1443670798
228929000,0,FGUF ,F/V ADELINE STEPHEN ,30,10,8,3,3,00-00 24:60 ,0, ,,1443670832
227574020,0,FGD5859 ,TIBIDY ,60,13,21,5,5,00-00 24:60 ,0, ,,1443670847
228051000,8617342,FHFO ,SAINT DENIS ,52,8,20,5,4,16-09 07:00 ,4.9,BREST ,,1443670884
228186700,9269518,FMAA ,ARGONAUTE ,51,10,60,10,10,25-09 19:20 ,6.4,BREST ,,1443670910
256495000,9327401,9HA2868 ,BALTIC FROST ,89,148,34,5,22,01-10 23:30 ,7.2,LE HAVRE ,,1443670991
355146000,9571612,HP3989 ,HAYDEE ,70,153,26,6,22,01-10 22:00 ,6.5,LA PALLICE ,,1443670991
228064900,8304816,FITO ,VN SAPEUR ,51,21,54,10,6,29-09 12:00 ,5.9,RADE DE BREST ,,1443670991
228064900,8304816,FITO ,VN SAPEUR ,51,21,54,10,6,29-09 12:00 ,5.9,RADE DE BREST ,,1443670992
228213700,0,FS4492 ,KANARMOOR ,30,8,8,3,2,00-00 24:60 ,0, ,,1443671001
227705102,262144,FGD5860 ,BINDY ,60,9,26,5,4,00-00 24:60 ,0, ,,1443671003
227705102,262144,FGD5860 ,BINDY ,60,9,26,5,4,00-00 24:60 ,0, ,,1443671004
351785000,9579781,HPDA ,NEW HYDRA ,77,249,43,14,31,02-10 14:00 ,18.3,ROTTERDAM ,,1443671015
"538004174,9422550,V7VO7 ,DUBAI BRILLIANCE ,80,208,42,17,27,10-10 10:00 ,12.9,""SUEZ,EGYPT "",,1443671023"
228190600,0,FMAS ,BOUGAINVILLE ,30,12,12,3,3,17-08 04:42 ,4.1,DOUARNENEZ /FRANCE ,,1443671023
304091000,9509255,V2GU5 ,HC JETTE-MARIT ,70,130,30,18,6,04-09 20:00 ,10.1,BREST ,,1443671024
304091000,9509255,V2GU5 ,HC JETTE-MARIT ,70,130,30,18,6,04-09 20:00 ,10.1,BREST ,,1443671025
226263000,9308687,FZTC ,ABEILLE BOURBON ,51,36,44,8,8,31-12 00:00 ,6,SALVAGE TUG ,,1443671047
228157000,0,FHKI ,F/V EL AMANECER ,96,10,10,4,2,00-00 24:60 ,3.5,DOUARNENEZ ,,1443671048
311018500,9410569,C6XP7 ,NORWEGIAN EPIC ,60,47,282,24,16,27-09 10:00 ,9,BREST ,,1443671107
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443671112
227307000,0,FHCP ,F/V MARIE-LOU ,30,10,9,4,3,00-00 24:60 ,0, ,,1443671120
227003050,0,FV5533 ,ENEZ EUSSA 3 ,60,25,20,4,5,29-09 19:50 ,2.8,BREST ,,1443671131
234056000,7703106,GKCT ,VN PARTISAN ,70,20,58,9,6,28-09 14:00 ,5.9,WORKING AREA ,,1443671149
227008170,0,FGA2273 ,MOLENEZ ,0,30,7,4,4,01-10 07:50 ,3,OUESSANT ,,1443671155
228843000,0,FPOA ,F/V L ESPOIR ,30,9,10,6,2,15-05 11:25 ,4.1,FISHIN CHANEL 13/16 ,,1443671192
228929000,0,FGUF ,F/V ADELINE STEPHEN ,30,10,8,3,3,00-00 24:60 ,0, ,,1443671192
228931000,0,FHZW ,F/V CARLA EGLANTINE ,30,10,10,3,2,00-00 24:60 ,3.4,LA TURBALLE ,,1443671201
227574020,0,FGD5859 ,TIBIDY ,60,13,21,5,5,00-00 24:60 ,0, ,,1443671207
